PERIODO_11,ESTU_CONSECUTIVO_11,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PERIODO_PRO,ESTU_CONSECUTIVO_PRO,ESTU_DEPTO_RESIDE_PRO,FAMI_ESTRATOVIVIENDA_PRO,INST_COD_INSTITUCION,INST_NOMBRE_INSTITUCION,ESTU_PRGM_ACADEMICO,ESTU_METODO_PRGM,MOD_RAZONA_CUANTITAT_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_COMPETEN_CIUDADA_PUNT,MOD_INGLES_PUNT,MOD_COMUNI_ESCRITA_PUNT,PUNT_GLOBAL,YEARS_DIFF,GHOST_FACULTY
20132,SB11201320189984,77,82,71,64,69,20182,EK201820001344,CORDOBA,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,MEDICINA VETERINARIA Y ZOOTECNIA,PRESENCIAL,176,222,181,228,107,183,5,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA
20132,SB11201320253683,82,48,71,73,81,20183,EK201830065819,CORDOBA,Estrato 1,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,180,182,184,192,136,175,5,FACULTAD DE INGENIERIAS
20122,SB11201220456647,59,68,69,71,75,20183,EK201830065867,CORDOBA,Estrato 2,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,171,182,112,94,118,135,6,FACULTAD DE INGENIERIAS
20132,SB11201320078990,67,60,59,54,60,20183,EK201830065868,CORDOBA,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,156,184,93,194,198,165,5,FACULTAD DE INGENIERIAS
20132,SB11201320109238,60,67,68,73,75,20183,EK201830065869,SUCRE,Estrato 1,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,169,195,177,192,153,177,5,FACULTAD DE INGENIERIAS
20132,SB11201320528079,100,60,66,73,72,20183,EK201830065870,CORDOBA,Estrato 2,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,200,194,189,173,124,176,5,FACULTAD DE INGENIERIAS
20132,SB11201320185638,77,55,72,71,74,20183,EK201830065871,SUCRE,Estrato 3,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,168,190,186,173,172,178,5,FACULTAD DE INGENIERIAS
20122,SB11201220509996,61,55,64,70,66,20183,EK201830065874,CORDOBA,Estrato 1,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,181,159,140,135,168,157,6,FACULTAD DE INGENIERIAS
20122,SB11201220513305,60,64,62,83,77,20183,EK201830065875,CORDOBA,Estrato 1,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,162,158,173,153,115,152,6,FACULTAD DE INGENIERIAS
20132,SB11201320038461,62,58,60,76,74,20183,EK201830065876,CORDOBA,Estrato 3,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,153,116,111,162,145,137,5,FACULTAD DE INGENIERIAS
