INST_NOMBRE_INSTITUCION,PUNT_GLOBAL
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,194.84685714285715
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,188.8861829025845
COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.,186.8
UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,184.5345132743363
UNIVERSIDAD EIA-MEDELLIN,183.6904761904762
UNIVERSIDAD DE LA SABANA-CHIA,181.29724137931035
UNIVERSIDAD ICESI-CALI,179.9579100145138
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,179.40829694323145
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,179.14509306260575
UNIVERSIDAD DEL NORTE-BARRANQUILLA,178.41136474016514
PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,175.71832884097034
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,174.77247191011236
UNIVERSIDAD EAFIT--MEDELLIN,174.43875567077123
UNIVERSIDAD DISTRITALFRANCISCO JOSE DE CALDAS-BOGOTÁ D.C.,173.35602094240838
UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,173.2221587664192
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,172.7550561797753
UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,172.36075949367088
ESCUELA COLOMBIANA DE INGENIERIAJULIO GARAVITO-BOGOTÁ D.C.,172.2913907284768
UNIVERSIDAD CES-MEDELLIN,171.2013093289689
CENTRO DE EDUCACION MILITAR-BOGOTÁ D.C.,170.71428571428572
FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA- FUSBC-MEDELLIN,170.5
UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,170.09643483343075
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,168.94652406417111
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,168.9171597633136
UNIVERSIDAD DE ANTIOQUIA-CARMEN DE VIBORAL,167.40845070422534
UNIVERSIDAD EAN-BOGOTÁ D.C.,166.7414383561644
UNIVERSIDAD DE MEDELLIN-MEDELLIN,166.71691792294808
ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO-BOGOTÁ D.C.,166.0
UNIVERSIDAD MILITARNUEVA GRANADA-BOGOTÁ D.C.,165.74720945502298
UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,165.67663817663816
UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES,165.61945031712474
UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-BUCARAMANGA,165.2527918781726
