ESTU_TIPODOCUMENTO_PRO,ESTU_GENERO_PRO,ESTU_FECHANACIMIENTO_PRO,PERIODO_PRO,ESTU_CONSECUTIVO_PRO,ESTU_DEPTO_RESIDE_PRO,ESTU_MCPIO_RESIDE_PRO,ESTU_AREARESIDE,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_PAGOMATRICULAPADRES,ESTU_PAGOMATRICULAPROPIO,FAMI_ESTRATOVIVIENDA_PRO,FAMI_TIENEINTERNET,ESTU_HORASSEMANATRABAJA,INST_COD_INSTITUCION,INST_NOMBRE_INSTITUCION,ESTU_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_NUCLEO_PREGRADO,MOD_RAZONA_CUANTITAT_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_COMPETEN_CIUDADA_PUNT,MOD_INGLES_PUNT,MOD_COMUNI_ESCRITA_PUNT,PUNT_GLOBAL,CONSECUTIVO_SABERPRO,CONSECUTIVO_SABER11,ESTU_TIPODOCUMENTO_11,ESTU_GENERO_11,ESTU_FECHANACIMIENTO_11,PERIODO_11,ESTU_CONSECUTIVO_11,ESTU_DEPTO_RESIDE_11,ESTU_MCPIO_RESIDE_11,FAMI_ESTRATOVIVIENDA_11,COLE_CARACTER,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,FACULTAD,CAMPUS
CC,M,19/05/1996,20183,EK201830112416,CORDOBA,LORICA,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 2,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,BACTERIOLOGIA,PRESENCIAL,BACTERIOLOGIA,145,190,200,164,184.0,177,EK201830112416,SB11201220513243,TI,M,19/05/1996,20122,SB11201220513243,CORDOBA,LORICA,Estrato 2,ACADEMICO,69,58,64,49,71,FACULTAD DE CIENCIAS DE LA SALUD,CAMPUS MONTERIA
CC,F,24/04/1996,20183,EK201830178928,CORDOBA,PLANETA RICA,CABECERA MUNICIPAL,NO,SI,NO,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DISTANCIA,EDUCACION,150,161,141,126,148.0,145,EK201830178928,SB11201320131301,TI,F,24/04/1996,20132,SB11201320131301,CORDOBA,PLANETA RICA,Estrato 1,ACADEMICO,49,50,56,55,54,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,MULTICAMPUS
CC,F,06/09/1996,20183,EK201830177443,CORDOBA,SAHAGUN,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 2,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DISTANCIA,EDUCACION,145,144,130,151,149.0,144,EK201830177443,SB11201320084525,TI,F,06/09/1996,20132,SB11201320084525,CORDOBA,CERETE,Estrato 2,ACADEMICO,48,43,59,43,54,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,MULTICAMPUS
CC,F,18/08/1996,20183,EK201830069452,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 2,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADESINGLES,PRESENCIAL,EDUCACION,162,189,181,210,187.0,186,EK201830069452,SB11201320089690,TI,F,18/08/1996,20132,SB11201320089690,CORDOBA,CERETE,Estrato 2,ACADEMICO,62,76,78,61,58,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,F,05/02/1996,20183,EK201830231741,CORDOBA,PLANETA RICA,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 2,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA DE ALIMENTOS,PRESENCIAL,INGENIERIA AGROINDUSTRIAL ALIMENTOS Y AFINES,178,108,100,155,107.0,130,EK201830231741,SB11201220516701,TI,M,05/02/1996,20122,SB11201220516701,CORDOBA,PLANETA RICA,Estrato 2,ACADEMICO,69,44,64,57,62,FACULTAD DE INGENIERIAS,CAMPUS BERASTEGUI
CC,F,05/10/1996,20183,EK201830177959,CORDOBA,CHIMA,AREA RURAL,NO,SI,SI,SI,Estrato 1,NAN,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,BIOLOGIA,PRESENCIAL,BIOLOGIA MICROBIOLOGIA Y AFINES,127,128,120,139,171.0,137,EK201830177959,SB11201320113414,TI,F,05/11/1996,20132,SB11201320113414,CORDOBA,CHIMA,Estrato 1,ACADEMICO,65,48,52,48,61,FACULTAD DE CIENCIAS BASICAS,CAMPUS MONTERIA
CC,F,22/05/1996,20183,EK201830170292,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,SI,Estrato 1,SI,MAS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES   LENGUA CASTELLANA,PRESENCIAL,EDUCACION,111,118,128,111,194.0,132,EK201830170292,SB11201220515875,TI,F,22/05/1996,20122,SB11201220515875,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,52,49,43,51,51,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,18/12/1995,20183,EK201830185832,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,NO,SI,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PRESENCIAL,EDUCACION,142,163,156,133,116.0,142,EK201830185832,SB11201420527983,CC,M,18/12/1995,20142,SB11201420527983,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,62,49,50,53,59,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,F,04/09/1997,20183,EK201830212107,CORDOBA,PLANETA RICA,CABECERA MUNICIPAL,SI,NO,NO,NO,Estrato 2,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA AMBIENTAL,PRESENCIAL,INGENIERIA AMBIENTAL SANITARIA Y AFINES,160,201,180,166,142.0,170,EK201830212107,SB11201320216519,TI,F,04/09/1997,20132,SB11201320216519,CORDOBA,PLANETA RICA,Estrato 1,ACADEMICO,67,55,74,65,61,FACULTAD DE INGENIERIAS,CAMPUS MONTERIA
CC,M,10/06/1996,20183,EK201830105123,CORDOBA,MONTERIA,AREA RURAL,NO,NO,SI,SI,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ACUICULTURA,PRESENCIAL,ZOOTECNIA,132,128,104,141,113.0,124,EK201830105123,SB11201220445744,TI,M,10/06/1996,20122,SB11201220445744,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,52,43,59,56,53,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,CAMPUS MONTERIA
